id	是否职业	名称	战场默认武器	职业	等级	力量	敏捷	智力	升级所需经验	下限	上限	下一级id	下一级id	引导id	段位等级	段位星级	卡组库id
5002	1	occ_5	1000005	4	2	6	5	7	80	10059	10138	5001	5003				
5003	1	occ_5	1000005	4	3	7	7	8	120	10139	10258	5002	5004				
5004	1	occ_5	1000005	4	4	8	8	9	140	10259	10398	5003	5005				
5005	1	occ_5	1000005	4	5	10	9	11	300	10399	10698	5004	5006				
5006	1	occ_5	1000005	4	6	11	10	12	450	10699	11148	5005	5007				
5007	1	occ_5	1000005	4	7	12	11	14	700	11149	11848	5006	5008				
5008	1	occ_5	1000005	4	8	14	12	15	1200	11849	13048	5007	5009				
5009	1	occ_5	1000005	4	9	15	14	17	1800	13049	14848	5008	5010				
5010	1	occ_5	1000005	4	10	17	15	19	0	14849	9999	5009					
10001		occ_2	1000002	1	1	0	0	0	0								
10002		occ_2	1000002	1	2	0	0	0	0								
10003		boss_2_1	1000003	2	3	0	0	0	0								
10004		boss_2_1	1000003	2	4	0	0	0	0								
10005		boss_2_1	1000003	2	5	0	0	0	0								
10006		boss_2_1	1000003	2	6	0	0	0	0								
10007		boss_5_1	1000001	0	3	0	0	0	0								
10008		boss_5_1	1000001	0	4	0	0	0	0								
10009		boss_5_1	1000001	0	5	0	0	0	0								
10010		boss_5_1	1000001	0	6	0	0	0	0								
10011		boss_7_1	1000002	1	3	0	0	0	0								
10012		boss_7_1	1000002	1	4	0	0	0	0								
10013		boss_6_1	1000001	0	3	0	0	0	0								
10014		boss_6_1	1000001	0	4	0	0	0	0								
10015		boss_4_1	1000003	2	3	0	0	0	0								
10016		boss_4_1	1000003	2	4	0	0	0	0								
10017		boss_3_1	1000001	0	3	0	0	0	0								
10018		boss_3_1	1000001	0	4	0	0	0	0								
10019		boss_3_1	1000001	0	5	0	0	0	0								
10020		boss_3_1	1000001	0	6	0	0	0	0								
10021		boss_7_2	1000002	1	6	0	0	0	0								
10022		boss_7_2	1000002	1	7	0	0	0	0								
10023		boss_7_2	1000002	1	8	0	0	0	0								
10024		boss_7_2	1000002	1	9	0	0	0	0								
10025		boss_7_2	1000002	1	10	0	0	0	0								
10026		boss_3_2	1000001	0	6	0	0	0	0								
10027		boss_3_2	1000001	0	7	0	0	0	0								
10028		boss_3_2	1000001	0	8	0	0	0	0								
10029		boss_3_2	1000001	0	9	0	0	0	0								
10030		boss_3_2	1000001	0	10	0	0	0	0								
10031		boss_6_2	1000001	0	6	0	0	0	0								
10032		boss_6_2	1000001	0	7	0	0	0	0								
10033		boss_6_2	1000001	0	8	0	0	0	0								
10034		boss_6_2	1000001	0	9	0	0	0	0								
10035		boss_6_2	1000001	0	10	0	0	0	0								
10036		boss_4_2	1000003	2	6	0	0	0	0								
10037		boss_4_2	1000003	2	7	0	0	0	0								
10038		boss_4_2	1000003	2	8	0	0	0	0								
10039		boss_4_2	1000003	2	9	0	0	0	0								
10040		boss_4_2	1000003	2	10	0	0	0	0								
10041		boss_5_2	1000001	0	6	0	0	0	0								
10042		boss_5_2	1000001	0	7	0	0	0	0								
10043		boss_5_2	1000001	0	8	0	0	0	0								
10044		boss_5_2	1000001	0	9	0	0	0	0								
10045		boss_5_2	1000001	0	10	0	0	0	0								
10046		boss_1_1	1000002	1	3	0	0	0	0								
10047		boss_1_1	1000002	1	4	0	0	0	0								
10048		boss_1_1	1000002	1	5	0	0	0	0								
10049		boss_1_1	1000002	1	6	0	0	0	0								
10050		boss_1_1	1000002	1	7	0	0	0	0								
10051		boss_2_2	1000003	2	6	0	0	0	0								
10052		boss_2_2	1000003	2	7	0	0	0	0								
10053		boss_2_2	1000003	2	8	0	0	0	0								
10054		boss_5_3	1000001	0	9	0	0	0	0								
10055		boss_5_3	1000001	0	10	0	0	0	0								
10056		boss_5_3	1000001	0	11	0	0	0	0								
10057		boss_7_3	1000002	1	9	0	0	0	0								
10058		boss_7_3	1000002	1	10	0	0	0	0								
10059		boss_7_3	1000002	1	11	0	0	0	0								
10060		boss_6_3	1000001	0	9	0	0	0	0								
10061		boss_6_3	1000001	0	10	0	0	0	0								
10062		boss_6_3	1000001	0	11	0	0	0	0								
10063		boss_4_3	1000003	2	9	0	0	0	0								
10064		boss_4_3	1000003	2	10	0	0	0	0								
10065		boss_4_3	1000003	2	11	0	0	0	0								
10066		boss_3_3	1000001	0	9	0	0	0	0								
10067		boss_3_3	1000001	0	10	0	0	0	0								
10068		boss_3_3	1000001	0	11	0	0	0	0								
10069		boss_1_2	1000002	1	6	0	0	0	0								
10070		boss_1_2	1000002	1	7	0	0	0	0								
10071		boss_1_2	1000002	1	8	0	0	0	0								
10072		boss_2_3	1000003	2	9	0	0	0	0								
10073		boss_2_3	1000003	2	10	0	0	0	0								
10074		boss_2_3	1000003	2	11	0	0	0	0								
10075		boss_5_3	1000001	0	9	0	0	0	0								
10076		boss_5_3	1000001	0	10	0	0	0	0								
10077		boss_5_3	1000001	0	11	0	0	0	0								
10078		boss_7_3	1000002	1	9	0	0	0	0								
10079		boss_7_3	1000002	1	10	0	0	0	0								
10080		boss_7_3	1000002	1	11	0	0	0	0								
10081		boss_6_3	1000001	0	9	0	0	0	0								
10082		boss_6_3	1000001	0	10	0	0	0	0								
10083		boss_6_3	1000001	0	11	0	0	0	0								
10084		boss_4_3	1000003	2	9	0	0	0	0								
10085		boss_4_3	1000003	2	10	0	0	0	0								
10086		boss_4_3	1000003	2	11	0	0	0	0								
10087		boss_3_3	1000001	0	9	0	0	0	0								
10088		boss_3_3	1000001	0	10	0	0	0	0								
10089		boss_3_3	1000001	0	11	0	0	0	0								
10090		boss_1_3	1000002	1	9	0	0	0	0								
10091		boss_1_3	1000002	1	10	0	0	0	0								
10092		boss_1_3	1000002	1	11	0	0	0	0								
10093		boss_2_3	1000003	2	9	0	0	0	0								
10094		boss_2_3	1000003	2	10	0	0	0	0								
10095		boss_2_3	1000003	2	11	0	0	0	0								
10096		boss_5_3	1000001	0	9	0	0	0	0								
10097		boss_5_3	1000001	0	10	0	0	0	0								
10098		boss_5_3	1000001	0	11	0	0	0	0								
10099		boss_7_3	1000002	1	9	0	0	0	0								
10100		boss_7_3	1000002	1	10	0	0	0	0								
6001		occ_1	1000001	0	1	8	3	3	0						1	1	11001
6002		occ_1	1000001	0	2	10	4	4	0						2	1	11001
6003		occ_1	1000001	0	3	12	5	5	0						3	1	11001
6004		occ_1	1000001	0	4	14	6	6	0						4	1	11001
6005		occ_1	1000001	0	5	17	7	7	0						5	1	11001
6006		occ_1	1000001	0	6	18	8	8	0						6	1	11001
6007		occ_1	1000001	0	7	21	9	9	0						7	1	11001
6008		occ_1	1000001	0	8	23	10	10	0						8	1	11001
6009		occ_1	1000001	0	9	25	11	11	0						8	3	11001
6010		occ_1	1000001	0	10	28	12	12	0						9	1	11001
6011		occ_1	1000001	0	1	8	3	3	0						9	3	11001
6012		occ_1	1000001	0	2	10	4	4	0						10	1	11001
6013		occ_1	1000001	0	3	12	5	5	0						10	3	11001
6014		occ_1	1000001	0	4	14	6	6	0						11	1	11001
6015		occ_1	1000001	0	5	17	7	7	0						11	3	11001
6016		occ_1	1000001	0	6	18	8	8	0						12	1	11001
6017		occ_1	1000001	0	7	21	9	9	0						12	3	11001
6018		occ_1	1000001	0	8	23	10	10	0						13	1	11001
6019		occ_1	1000001	0	9	25	11	11	0						13	7	11001
6020		occ_1	1000001	0	10	28	12	12	0						13	15	11001
