id	boss名称	bossID	boss属性	boss卡组	通关奖励	失败奖励	地图ID	触发引导id	触发id	标记指引id	通关后触发组Id	通关后解锁职业Id
1059	boss_7_3	10059	"100,25;101,62;102,37"	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1"	"4,100;3,50"	"4,20"	10002					
1060	boss_6_3	10060	"100,102;101,13;102,13"	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1;1000080,1;1000110,1"	"4,100;3,50"	"4,20"	10002					
1061	boss_6_3	10061	"100,104;101,13;102,13"	"1000010,3;1000020,1;1000080,1;1000090,1;1000110,1;1000150,1;1000240,1;1000510,1"	"4,100;3,50"	"4,20"	10002					
1062	boss_6_3	10062	"100,106;101,13;102,13"	"1000010,3;1000020,1;1000080,1;1000090,1;1000110,1;1000150,1;1000240,1;1000510,1"	"4,100;3,50"	"4,20"	10002					
1063	boss_4_3	10063	"100,54;101,40;102,40"	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"	"4,100;3,50"	"4,20"	10002					
1064	boss_4_3	10064	"100,54;101,41;102,41"	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"	"4,100;3,50"	"4,20"	10002					
1065	boss_4_3	10065	"100,56;101,42;102,42"	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"	"4,100;3,50"	"4,20"	10002					
1066	boss_3_3	10066	"100,57;101,43;102,43"	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"	"4,100;3,50"	"4,20"	10002					
1067	boss_3_3	10067	"100,58;101,43;102,43"	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"	"4,100;3,50"	"4,20"	10002					
1068	boss_3_3	10068	"100,58;101,44;102,44"	"1000010,3;1000020,1;1000040,1;1000080,1;1000120,1;1000140,1;1000150,1;1000210,1"	"4,100;3,50"	"4,20"	10002					
1069	boss_1_2	10069	"100,44;101,59;102,44"	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1"	"4,100;3,50"	"4,20"	10002					
1070	boss_1_2	10070	"100,46;101,61;102,46"	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1"	"4,100;3,50"	"4,20"	10002					
1071	boss_1_2	10071	"100,46;101,62;102,46"	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1"	"4,100;3,50"	"4,20"	10002					
1072	boss_2_3	10072	"100,47;101,31;102,78"	"1000330,3;1000350,1;1000380,1;1000390,1;1000510,2;1000540,1"	"4,100;3,50"	"4,20"	10002					
1073	boss_2_3	10073	"100,47;101,32;102,79"	"1000330,3;1000350,1;1000380,1;1000390,1;1000510,2;1000540,1"	"4,100;3,50"	"4,20"	10002					
1074	boss_2_3	10074	"100,48;101,32;102,80"	"1000330,3;1000340,1;1000350,1;1000390,1;1000400,1;1000520,1;1000540,1;1000420,1"	"4,100;3,50"	"4,20"	10002					
1075	boss_5_3	10075	"100,82;101,33;102,49"	"1000010,3;1000020,1;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"	"4,100;3,50"	"4,20"	10002					
1076	boss_5_3	10076	"100,83;101,33;102,50"	"1000010,3;1000020,1;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"	"4,100;3,50"	"4,20"	10002					
1077	boss_5_3	10077	"100,84;101,34;102,50"	"1000010,3;1000020,2;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"	"4,100;3,50"	"4,20"	10002					
1078	boss_7_3	10078	"100,34;101,85;102,51"	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1"	"4,100;3,50"	"4,20"	10002					
1079	boss_7_3	10079	"100,34;101,86;102,52"	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1"	"4,100;3,50"	"4,20"	10002					
1080	boss_7_3	10080	"100,35;101,88;102,53"	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1"	"4,100;3,50"	"4,20"	10002					
1081	boss_6_3	10081	"100,142;101,18;102,18"	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1;1000080,1;1000110,1"	"4,100;3,50"	"4,20"	10002					
1082	boss_6_3	10082	"100,144;101,18;102,18"	"1000010,3;1000020,1;1000080,1;1000090,1;1000110,1;1000150,1;1000240,1;1000510,1"	"4,100;3,50"	"4,20"	10002					
1083	boss_6_3	10083	"100,146;101,18;102,18"	"1000010,3;1000020,1;1000080,1;1000090,1;1000110,1;1000150,1;1000240,1;1000510,1"	"4,100;3,50"	"4,20"	10002					
1084	boss_4_3	10084	"100,74;101,55;102,55"	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"	"4,100;3,50"	"4,20"	10002					
1085	boss_4_3	10085	"100,75;101,56;102,56"	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"	"4,100;3,50"	"4,20"	10002					
1086	boss_4_3	10086	"100,76;101,57;102,57"	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"	"4,100;3,50"	"4,20"	10002					
1087	boss_3_3	10087	"100,77;101,58;102,58"	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"	"4,100;3,50"	"4,20"	10002					
1088	boss_3_3	10088	"100,78;101,58;102,58"	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"	"4,100;3,50"	"4,20"	10002					
1089	boss_3_3	10089	"100,78;101,59;102,59"	"1000010,3;1000020,1;1000040,1;1000080,1;1000120,1;1000140,1;1000150,1;1000210,1"	"4,100;3,50"	"4,20"	10002					
1090	boss_1_3	10090	"100,60;101,80;102,60"	"1000030,3;1000060,1;1000130,1;1000170,1;1000200,1;1000550,1;1000590,1;1090010,2"	"4,100;3,50"	"4,20"	10002					
1091	boss_1_3	10091	"100,61;101,81;102,61"	"1000030,3;1000060,1;1000130,1;1000170,1;1000200,1;1000550,1;1000590,1;1090010,2"	"4,100;3,50"	"4,20"	10002					
1092	boss_1_3	10092	"100,61;101,82;102,61"	"1000030,3;1000060,1;1000130,1;1000170,1;1000200,1;1000550,1;1000590,1;1090010,2"	"4,100;3,50"	"4,20"	10002					
1093	boss_2_3	10093	"100,62;101,41;102,103"	"1000330,3;1000350,1;1000380,1;1000390,1;1000510,2;1000540,1"	"4,100;3,50"	"4,20"	10002					
1094	boss_2_3	10094	"100,62;101,42;102,104"	"1000330,3;1000350,1;1000380,1;1000390,1;1000510,2;1000540,1"	"4,100;3,50"	"4,20"	10002					
1095	boss_2_3	10095	"100,64;101,42;102,106"	"1000330,3;1000340,1;1000350,1;1000390,1;1000400,1;1000520,1;1000540,1;1000420,1"	"4,100;3,50"	"4,20"	10002					
1096	boss_5_3	10096	"100,107;101,43;102,64"	"1000010,3;1000020,1;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"	"4,100;3,50"	"4,20"	10002					
1097	boss_5_3	10097	"100,108;101,43;102,65"	"1000010,3;1000020,1;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"	"4,100;3,50"	"4,20"	10002					
1098	boss_5_3	10098	"100,109;101,44;102,65"	"1000010,3;1000020,2;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"	"4,100;3,50"	"4,20"	10002					
1099	boss_7_3	10099	"100,44;101,110;102,66"	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1"	"4,100;3,50"	"4,20"	10002					
1100	boss_7_3	10100	"100,45;101,112;102,67"	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1"	"4,100;3,50"	"4,20"	10002					
