id	是否职业	名称	角色类型	战场默认武器	职业	等级	力量	敏捷	智力	升级所需经验	下限	上限	下一级id	下一级id	引导id	段位等级	段位星级	卡组库id
4004	1	occ_4		1000004	3	4	7	18	8	610	451	1060	4003	4005				
4005	1	occ_4		1000004	3	5	7	20	9	1490	1061	2550	4004	4006				
4006	1	occ_4		1000004	3	6	8	22	10	3270	2551	5820	4005	4007				
4007	1	occ_4		1000004	3	7	9	24	11	6450	5821	12270	4006	4008				
4008	1	occ_4		1000004	3	8	9	26	12	11680	12271	23950	4007	4009				
4009	1	occ_4		1000004	3	9	10	28	13	19780	23951	43730	4008	4010				
4010	1	occ_4		1000004	3	10	11	30	14				4009					
5001	1	occ_5		1000005	4	1	6	6	7	100	0	100		5002				
5002	1	occ_5		1000005	4	2	7	6	8	120	101	220	5001	5003				
5003	1	occ_5		1000005	4	3	8	7	9	230	221	450	5002	5004				
5004	1	occ_5		1000005	4	4	9	8	10	610	451	1060	5003	5005				
5005	1	occ_5		1000005	4	5	10	9	11	1490	1061	2550	5004	5006				
5006	1	occ_5		1000005	4	6	11	10	12	3270	2551	5820	5005	5007				
5007	1	occ_5		1000005	4	7	12	11	14	6450	5821	12270	5006	5008				
5008	1	occ_5		1000005	4	8	14	13	16	11680	12271	23950	5007	5009				
5009	1	occ_5		1000005	4	9	16	15	18	19780	23951	43730	5008	5010				
5010	1	occ_5		1000005	4	10	18	16	20				5009					
10001		occ_2		1000002	1	1	0	0	0	0								
10002		occ_2		1000002	1	2	0	0	0	0								
10003		boss_2_1		1000003	2	3	0	0	0	0								
10004		boss_2_1		1000003	2	4	0	0	0	0								
10005		boss_2_1		1000003	2	5	0	0	0	0								
10006		boss_2_1		1000003	2	6	0	0	0	0								
10007		boss_5_1		1000001	0	3	0	0	0	0								
10008		boss_5_1		1000001	0	4	0	0	0	0								
10009		boss_5_1		1000001	0	5	0	0	0	0								
10010		boss_5_1		1000001	0	6	0	0	0	0								
10011		boss_7_1		1000002	1	3	0	0	0	0								
10012		boss_7_1		1000002	1	4	0	0	0	0								
10013		boss_6_1		1000001	0	3	0	0	0	0								
10014		boss_6_1		1000001	0	4	0	0	0	0								
10015		boss_4_1		1000003	2	3	0	0	0	0								
10016		boss_4_1		1000003	2	4	0	0	0	0								
10017		boss_3_1		1000001	0	3	0	0	0	0								
10018		boss_3_1		1000001	0	4	0	0	0	0								
10019		boss_3_1		1000001	0	5	0	0	0	0								
10020		boss_3_1		1000001	0	6	0	0	0	0								
10021		boss_7_2		1000002	1	6	0	0	0	0								
10022		boss_7_2		1000002	1	7	0	0	0	0								
10023		boss_7_2		1000002	1	8	0	0	0	0								
10024		boss_7_2		1000002	1	9	0	0	0	0								
10025		boss_7_2		1000002	1	10	0	0	0	0								
10026		boss_3_2		1000001	0	6	0	0	0	0								
10027		boss_3_2		1000001	0	7	0	0	0	0								
10028		boss_3_2		1000001	0	8	0	0	0	0								
10029		boss_3_2		1000001	0	9	0	0	0	0								
10030		boss_3_2		1000001	0	10	0	0	0	0								
10031		boss_6_2		1000001	0	6	0	0	0	0								
10032		boss_6_2		1000001	0	7	0	0	0	0								
10033		boss_6_2		1000001	0	8	0	0	0	0								
10034		boss_6_2		1000001	0	9	0	0	0	0								
10035		boss_6_2		1000001	0	10	0	0	0	0								
10036		boss_4_2		1000003	2	6	0	0	0	0								
10037		boss_4_2		1000003	2	7	0	0	0	0								
10038		boss_4_2		1000003	2	8	0	0	0	0								
10039		boss_4_2		1000003	2	9	0	0	0	0								
10040		boss_4_2		1000003	2	10	0	0	0	0								
10041		boss_5_2		1000001	0	6	0	0	0	0								
10042		boss_5_2		1000001	0	7	0	0	0	0								
10043		boss_5_2		1000001	0	8	0	0	0	0								
10044		boss_5_2		1000001	0	9	0	0	0	0								
10045		boss_5_2		1000001	0	10	0	0	0	0								
10046		boss_1_1		1000002	1	3	0	0	0	0								
10047		boss_1_1		1000002	1	4	0	0	0	0								
10048		boss_1_1		1000002	1	5	0	0	0	0								
10049		boss_1_1		1000002	1	6	0	0	0	0								
10050		boss_1_1		1000002	1	7	0	0	0	0								
10051		boss_2_2		1000003	2	6	0	0	0	0								
10052		boss_2_2		1000003	2	7	0	0	0	0								
10053		boss_2_2		1000003	2	8	0	0	0	0								
10054		boss_5_3		1000001	0	9	0	0	0	0								
10055		boss_5_3		1000001	0	10	0	0	0	0								
10056		boss_5_3		1000001	0	11	0	0	0	0								
10057		boss_7_3		1000002	1	9	0	0	0	0								
10058		boss_7_3		1000002	1	10	0	0	0	0								
10059		boss_7_3		1000002	1	11	0	0	0	0								
10060		boss_6_3		1000001	0	9	0	0	0	0								
10061		boss_6_3		1000001	0	10	0	0	0	0								
10062		boss_6_3		1000001	0	11	0	0	0	0								
10063		boss_4_3		1000003	2	9	0	0	0	0								
10064		boss_4_3		1000003	2	10	0	0	0	0								
10065		boss_4_3		1000003	2	11	0	0	0	0								
10066		boss_3_3		1000001	0	9	0	0	0	0								
10067		boss_3_3		1000001	0	10	0	0	0	0								
10068		boss_3_3		1000001	0	11	0	0	0	0								
10069		boss_1_2		1000002	1	6	0	0	0	0								
10070		boss_1_2		1000002	1	7	0	0	0	0								
10071		boss_1_2		1000002	1	8	0	0	0	0								
10072		boss_2_3		1000003	2	9	0	0	0	0								
10073		boss_2_3		1000003	2	10	0	0	0	0								
10074		boss_2_3		1000003	2	11	0	0	0	0								
10075		boss_5_3		1000001	0	9	0	0	0	0								
10076		boss_5_3		1000001	0	10	0	0	0	0								
10077		boss_5_3		1000001	0	11	0	0	0	0								
10078		boss_7_3		1000002	1	9	0	0	0	0								
10079		boss_7_3		1000002	1	10	0	0	0	0								
10080		boss_7_3		1000002	1	11	0	0	0	0								
10081		boss_6_3		1000001	0	9	0	0	0	0								
10082		boss_6_3		1000001	0	10	0	0	0	0								
10083		boss_6_3		1000001	0	11	0	0	0	0								
10084		boss_4_3		1000003	2	9	0	0	0	0								
10085		boss_4_3		1000003	2	10	0	0	0	0								
10086		boss_4_3		1000003	2	11	0	0	0	0								
10087		boss_3_3		1000001	0	9	0	0	0	0								
10088		boss_3_3		1000001	0	10	0	0	0	0								
10089		boss_3_3		1000001	0	11	0	0	0	0								
10090		boss_1_3		1000002	1	9	0	0	0	0								
10091		boss_1_3		1000002	1	10	0	0	0	0								
10092		boss_1_3		1000002	1	11	0	0	0	0								
10093		boss_2_3		1000003	2	9	0	0	0	0								
10094		boss_2_3		1000003	2	10	0	0	0	0								
10095		boss_2_3		1000003	2	11	0	0	0	0								
10096		boss_5_3		1000001	0	9	0	0	0	0								
10097		boss_5_3		1000001	0	10	0	0	0	0								
10098		boss_5_3		1000001	0	11	0	0	0	0								
10099		boss_7_3		1000002	1	9	0	0	0	0								
6001		occ_1	1	1000001	0	1	8	3	3	0						1	1	11001
6002		occ_1	1	1000001	0	2	10	4	4	0						2	1	11001
6003		occ_1	1	1000001	0	3	12	5	5	0						3	1	11001
6004		occ_1	1	1000001	0	4	14	6	6	0						4	1	11001
6005		occ_1	1	1000001	0	5	17	7	7	0						5	1	11001
6006		occ_1	1	1000001	0	6	18	8	8	0						6	1	11001
6007		occ_1	1	1000001	0	7	21	9	9	0						7	1	11001
6008		occ_1	1	1000001	0	8	23	10	10	0						8	1	11001
6009		occ_1	1	1000001	0	9	25	11	11	0						8	3	11001
6010		occ_1	1	1000001	0	10	28	12	12	0						9	1	11001
6011		occ_1	1	1000001	0	1	8	3	3	0						9	3	11001
6012		occ_1	1	1000001	0	2	10	4	4	0						10	1	11001
6013		occ_1	1	1000001	0	3	12	5	5	0						10	3	11001
6014		occ_1	1	1000001	0	4	14	6	6	0						11	1	11001
6015		occ_1	1	1000001	0	5	17	7	7	0						11	3	11001
6016		occ_1	1	1000001	0	6	18	8	8	0						12	1	11001
6017		occ_1	1	1000001	0	7	21	9	9	0						12	3	11001
6018		occ_1	1	1000001	0	8	23	10	10	0						13	1	11001
6019		occ_1	1	1000001	0	9	25	11	11	0						13	7	11001
6020		occ_1	1	1000001	0	10	28	12	12	0						13	15	11001
6021		occ_1	2	1000001	0	1	8	3	3	0						1	1	11001
6022		occ_1	2	1000001	0	2	10	4	4	0						2	1	11001
6023		occ_1	2	1000001	0	3	12	5	5	0						3	1	11001
6024		occ_1	2	1000001	0	4	14	6	6	0						4	1	11001
6025		occ_1	2	1000001	0	5	17	7	7	0						5	1	11001
6026		occ_1	2	1000001	0	6	18	8	8	0						6	1	11001
6027		occ_1	2	1000001	0	7	21	9	9	0						7	1	11001
6028		occ_1	2	1000001	0	8	23	10	10	0						8	1	11001
6029		occ_1	2	1000001	0	9	25	11	11	0						8	3	11001
6030		occ_1	2	1000001	0	10	28	12	12	0						9	1	11001
6031		occ_1	2	1000001	0	1	8	3	3	0						9	3	11001
6032		occ_1	2	1000001	0	2	10	4	4	0						10	1	11001
6033		occ_1	2	1000001	0	3	12	5	5	0						10	3	11001
6034		occ_1	2	1000001	0	4	14	6	6	0						11	1	11001
6035		occ_1	2	1000001	0	5	17	7	7	0						11	3	11001
6036		occ_1	2	1000001	0	6	18	8	8	0						12	1	11001
6037		occ_1	2	1000001	0	7	21	9	9	0						12	3	11001
6038		occ_1	2	1000001	0	8	23	10	10	0						13	1	11001
6039		occ_1	2	1000001	0	9	25	11	11	0						13	7	11001
6040		occ_1	2	1000001	0	10	28	12	12	0						13	15	11001
