id	包含卡牌
11039	"1000330,3;1000370,1;1000540,1;1000590,1;1000340,1;1000390,1;1000400,1"
11040	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1"
11041	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1"
11042	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000400,1"
11043	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1"
11044	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1"
11045	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000400,1"
11046	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"
11047	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1"
11048	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000400,1"
11049	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"
11050	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1"
11051	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000400,1"
11052	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1"
11053	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11054	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"
11055	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1"
11056	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11057	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"
11058	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"
11059	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11060	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"
11061	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"
11062	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11063	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"
11064	"1000010,3;1000020,1;1000040,1;1000080,1;1000120,1;1000140,1;1000150,1;1000210,1"
11065	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11066	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"
11067	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1"
11068	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11069	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"
11070	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1;1000080,1;1000110,1"
11071	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11072	"1000330,3;1000350,1;1000380,1;1000390,1;1000510,2;1000540,1"
11073	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1;1000080,1;1000110,1"
11074	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11075	"1000330,3;1000350,1;1000380,1;1000390,1;1000510,2;1000540,1"
11076	"1000010,3;1000020,1;1000080,1;1000090,1;1000110,1;1000150,1;1000240,1;1000510,1"
11077	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11078	"1000330,3;1000350,1;1000380,1;1000390,1;1000510,2;1000540,1"
11079	"1000010,3;1000020,1;1000080,1;1000090,1;1000110,1;1000150,1;1000240,1;1000510,1"
11080	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11081	"1000330,3;1000350,1;1000380,1;1000390,1;1000510,2;1000540,1"
11082	"1000010,3;1000040,2;1000550,1;1000020,1;1000090,1"
11083	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1;1000170,1"
11084	"1000330,3;1000340,1;1000350,1;1000390,1;1000400,1;1000520,1;1000540,1;1000420,1"
11085	"1000010,3;1000040,2;1000550,1;1000020,1;1000090,1"
11086	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1;1000170,1"
11087	"1000330,3;1000340,1;1000350,1;1000390,1;1000400,1;1000520,1;1000540,1;1000420,1"
11088	"1000010,3;1000020,1;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"
11089	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11090	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11091	"1000010,3;1000020,1;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"
11092	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11093	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11094	"1000010,3;1000020,2;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"
11095	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11096	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11097	"1000010,3;1000020,1;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"
11098	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11099	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11100	"1000010,3;1000020,1;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"
11101	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,2;1090020,2;1090030,2"
11102	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11103	"1000010,2;1000020,3;1000040,1;1000090,1;1000140,1;1000590,1;1000610,1"
11104	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,2;1090020,2;1090030,2"
11105	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11106	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1;1000080,1;1000110,1"
11107	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,2;1090020,2;1090030,2"
11108	"1000330,3;1000340,1;1000350,1;1000390,1;1000400,1;1000520,1;1000540,1;1000420,1"
11109	"1000010,3;1000020,1;1000080,1;1000090,1;1000110,1;1000150,1;1000240,1;1000510,1"
11110	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,2;1090020,2;1090030,2"
11111	"1000330,3;1000340,1;1000350,1;1000390,1;1000400,1;1000520,1;1000540,1;1000420,1"
11112	"1000010,3;1000020,1;1000080,1;1000090,1;1000110,1;1000150,1;1000240,1;1000510,1;1000630,1"
11113	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,2;1090020,2;1090030,2"
11114	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000520,1;1000540,1"
11115	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"
11116	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,2;1090020,2;1090030,2"
11117	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000520,1;1000540,1"
11118	"1000010,2;1000020,2;1000040,1;1000080,1;1000120,1;1000140,1;1000150,1;1000240,1;1000270,1;1000590,1;1000640,1;1000650,1"
11119	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1;1000170,1"
11120	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000440,1;1000520,1;1000540,1"
11121	"1000010,2;1000020,2;1000040,1;1000080,1;1000120,1;1000140,1;1000150,1;1000240,1;1000250,1;1000270,1;1000590,1;1000640,1;1000650,1"
11122	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1;1000170,1"
11123	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000440,1;1000520,1;1000540,1"
11124	"1000010,3;1000020,1;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"
11125	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11126	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11127	"1000010,2;1000020,3;1000040,1;1000140,1;1000210,1;1000590,1;1000610,1"
11128	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11129	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11130	"1000010,2;1000020,3;1000040,1;1000110,1;1000140,1;1000210,1;1000590,1;1000610,1"
11131	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11132	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11133	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1;1000080,1;1000110,1;1000630,1"
11134	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11135	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11136	"1000010,3;1000020,1;1000080,1;1000090,1;1000110,1;1000150,1;1000240,1;1000510,1;1000630,1"
11137	"1000030,3;1000060,1;1000130,1;1000170,1;1000200,1;1000550,1;1000590,1;1090010,2;1090020,2;1090030,2"
11138	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11139	"1000010,3;1000020,1;1000080,1;1000090,1;1000110,1;1000150,1;1000240,1;1000510,1;1000630,2"
11140	"1000030,3;1000060,1;1000130,1;1000170,1;1000200,1;1000550,1;1000590,1;1090010,2;1090020,2;1090030,2"
11141	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11142	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"
11143	"1000030,3;1000060,1;1000130,1;1000170,1;1000200,1;1000550,1;1000590,1;1090010,2;1090020,2;1090030,2"
11144	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000440,1;1000520,1;1000540,1;1000580,1"
11145	"1000010,2;1000020,2;1000040,1;1000080,2;1000120,1;1000140,1;1000150,1;1000210,1;1000240,1;1000250,1;1000270,1;1000590,1;1000640,1;1000650,1"
11146	"1000030,3;1000060,1;1000130,1;1000170,1;1000200,1;1000550,1;1000590,1;1090010,2;1090020,2;1090030,2"
11147	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000440,1;1000520,1;1000540,1;1000580,1"
11148	"1000010,2;1000020,2;1000040,1;1000080,2;1000120,1;1000140,2;1000150,1;1000210,1;1000240,1;1000250,1;1000270,1;1000590,1;1000640,1;1000650,1"
11149	"1000030,3;1000060,1;1000130,1;1000170,1;1000200,1;1000550,1;1000590,1;1090010,2;1090020,2;1090030,2"
11150	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000430,1;1000440,1;1000520,1;1000540,1;1000580,1;1000620,1"
11151	"1000010,3;1000020,1;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"
11152	"1000030,3;1000060,1;1000130,1;1000170,1;1000200,1;1000550,1;1000590,1;1090010,2;1090020,2;1090030,2"
11153	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000430,1;1000440,1;1000520,1;1000540,1;1000580,1;1000620,1"
11154	"1000010,2;1000020,3;1000040,1;1000110,1;1000140,2;1000210,1;1000250,1;1000590,1;1000610,1;1000630,1"
11155	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11156	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000420,1;1000430,1;1000440,1;1000520,1;1000540,1;1000580,1;1000610,1;1000620,1"
11157	"1000010,2;1000020,3;1000040,1;1000110,1;1000140,2;1000210,1;1000250,1;1000590,1;1000610,1;1000630,1"
11158	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11159	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000420,1;1000430,1;1000440,1;1000520,1;1000540,1;1000580,1;1000610,1;1000620,1"
11160	"1000010,3;1000040,2;1000550,1"
11161	"1000030,3;1000540,2"
11162	"1000010,3;1000040,2;1000550,1"
11163	"1000010,2;1000020,2;1000040,2;1000150,1;1000570,1;1000590,1"
11164	"1000030,3;1000540,2"
11165	"1000010,2;1000020,2;1000040,2;1000150,1;1000570,1;1000590,1"
11166	"1000030,3;1000540,2"
11167	"1000010,2;1000020,2;1000040,2;1000150,1;1000570,1;1000590,1"
11168	"1000030,3;1000540,2"
11169	"1000010,2;1000020,2;1000040,2;1000150,1;1000570,1;1000590,1"
11170	"1000030,4;1000070,2"
11171	"1000330,3;1000510,1;1000540,1"
11172	"1000010,2;1000020,2;1000040,2;1000150,1;1000570,1;1000590,1"
11173	"1000030,4;1000070,2"
11174	"1000330,3;1000510,1;1000540,1"
11175	"1000010,2;1000020,2;1000040,2;1000150,1;1000570,1;1000590,1"
11176	"1000030,4;1000070,2;1000160,1"
11177	"1000330,3;1000380,1;1000390,1;1000510,2;1000540,1"
11178	"1000010,2;1000020,2;1000040,2;1000150,1;1000570,1;1000590,1"
11179	"1000030,4;1000070,2;1000160,1"
11180	"1000330,3;1000380,1;1000390,1;1000510,2;1000540,1"
11181	"1000010,2;1000020,2;1000040,2;1000150,1;1000570,1;1000590,1"
11182	"1000030,4;1000070,2;1000160,1"
11183	"1000330,3;1000380,1;1000390,1;1000510,2;1000540,1"
11184	"1000010,2;1000020,2;1000040,2;1000150,1;1000570,1;1000590,1"
11185	"1000030,4;1000070,2;1000160,1"
11186	"1000330,3;1000380,1;1000390,1;1000510,2;1000540,1"
11187	"1000010,3;1000040,2;1000550,1;1000020,1;1000090,1"
11188	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1"
11189	"1000330,3;1000370,1;1000540,1;1000590,1"
11190	"1000010,3;1000040,2;1000550,1;1000020,1;1000090,1"
11191	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1"
11192	"1000330,3;1000370,1;1000540,1;1000590,1"
11193	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1"
11194	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1"
11195	"1000330,3;1000370,1;1000540,1;1000590,1;1000340,1;1000390,1;1000400,1"
11196	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1;1000080,1;1000110,1"
11197	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1"
11198	"1000330,3;1000370,1;1000540,1;1000590,1;1000340,1;1000390,1;1000400,1"
11199	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1"
11200	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1"
11201	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000400,1"
11202	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1"
11203	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1"
11204	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000400,1"
11205	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"
11206	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1"
11207	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000400,1"
11208	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"
11209	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1"
11210	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000400,1"
11211	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1"
11212	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11213	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"
11214	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1"
11215	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11216	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"
11217	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"
11218	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11219	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"
11220	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"
11221	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11222	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"
11223	"1000010,3;1000020,1;1000040,1;1000080,1;1000120,1;1000140,1;1000150,1;1000210,1"
11224	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11225	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"
11226	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1"
11227	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11228	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1"
11229	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1;1000080,1;1000110,1"
11230	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11231	"1000330,3;1000350,1;1000380,1;1000390,1;1000510,2;1000540,1"
11232	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1;1000080,1;1000110,1"
11233	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11234	"1000330,3;1000350,1;1000380,1;1000390,1;1000510,2;1000540,1"
11235	"1000010,3;1000020,1;1000080,1;1000090,1;1000110,1;1000150,1;1000240,1;1000510,1"
11236	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11237	"1000330,3;1000350,1;1000380,1;1000390,1;1000510,2;1000540,1"
11238	"1000010,3;1000020,1;1000080,1;1000090,1;1000110,1;1000150,1;1000240,1;1000510,1"
11239	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,1;1090020,1;1090030,1"
11240	"1000330,3;1000350,1;1000380,1;1000390,1;1000510,2;1000540,1"
11241	"1000010,3;1000040,2;1000550,1;1000020,1;1000090,1"
11242	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1;1000170,1"
11243	"1000330,3;1000340,1;1000350,1;1000390,1;1000400,1;1000520,1;1000540,1;1000420,1"
11244	"1000010,3;1000040,2;1000550,1;1000020,1;1000090,1"
11245	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1;1000170,1"
11246	"1000330,3;1000340,1;1000350,1;1000390,1;1000400,1;1000520,1;1000540,1;1000420,1"
11247	"1000010,3;1000020,1;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"
11248	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11249	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11250	"1000010,3;1000020,1;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"
11251	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11252	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11253	"1000010,3;1000020,2;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"
11254	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11255	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11256	"1000010,3;1000020,1;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"
11257	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11258	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11259	"1000010,3;1000020,1;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"
11260	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,2;1090020,2;1090030,2"
11261	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11262	"1000010,2;1000020,3;1000040,1;1000090,1;1000140,1;1000590,1;1000610,1"
11263	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,2;1090020,2;1090030,2"
11264	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11265	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1;1000080,1;1000110,1"
11266	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,2;1090020,2;1090030,2"
11267	"1000330,3;1000340,1;1000350,1;1000390,1;1000400,1;1000520,1;1000540,1;1000420,1"
11268	"1000010,3;1000020,1;1000080,1;1000090,1;1000110,1;1000150,1;1000240,1;1000510,1"
11269	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,2;1090020,2;1090030,2"
11270	"1000330,3;1000340,1;1000350,1;1000390,1;1000400,1;1000520,1;1000540,1;1000420,1"
11271	"1000010,3;1000020,1;1000080,1;1000090,1;1000110,1;1000150,1;1000240,1;1000510,1;1000630,1"
11272	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,2;1090020,2;1090030,2"
11273	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000520,1;1000540,1"
11274	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"
11275	"1000030,3;1000060,1;1000130,1;1000550,1;1090010,2;1090020,2;1090030,2"
