id	boss名称	boss职业	boss属性	boss卡组	通关奖励	失败奖励	地图ID	触发引导id	触发id	标记指引id	通关后触发组Id	通关后解锁职业Id
1059	boss_name_1059	1001	"100,54;101,42;102,40"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1060	boss_name_1060	3001	"100,54;101,42;102,41"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1061	boss_name_1061	2001	"100,54;101,40;102,43"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1062	boss_name_1062	2001	"100,54;101,43;102,44"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1063	boss_name_1063	3001	"100,54;101,44;102,45"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1064	boss_name_1064	3001	"100,57;101,43;102,43"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1065	boss_name_1065	2001	"100,57;101,42;102,42"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1066	boss_name_1066	1001	"100,57;101,44;102,45"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1067	boss_name_1067	3001	"100,57;101,47;102,46"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1068	boss_name_1068	3001	"100,57;101,46;102,48"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1069	boss_name_1069	3001	"100,60;101,46;102,46"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1070	boss_name_1070	3001	"100,60;101,46;102,49"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1071	boss_name_1071	2001	"100,60;101,49;102,48"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1072	boss_name_1072	3001	"100,60;101,49;102,50"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1073	boss_name_1073	3001	"100,60;101,48;102,49"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1074	boss_name_1074	2001	"100,63;101,51;102,49"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1075	boss_name_1075	2001	"100,63;101,49;102,51"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1076	boss_name_1076	1001	"100,63;101,50;102,50"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1077	boss_name_1077	2001	"100,63;101,52;102,52"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1078	boss_name_1078	3001	"100,63;101,54;102,53"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1079	boss_name_1079	2001	"100,66;101,51;102,54"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1080	boss_name_1080	3001	"100,66;101,53;102,52"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1081	boss_name_1081	1001	"100,66;101,52;102,55"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1082	boss_name_1082	1001	"100,66;101,56;102,55"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1083	boss_name_1083	1001	"100,66;101,54;102,53"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1084	boss_name_1084	2001	"100,69;101,53;102,57"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1085	boss_name_1085	3001	"100,69;101,57;102,58"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1086	boss_name_1086	3001	"100,69;101,55;102,56"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1087	boss_name_1087	3001	"100,69;101,56;102,57"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1088	boss_name_1088	1001	"100,69;101,60;102,57"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1089	boss_name_1089	3001	"100,72;101,58;102,56"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1090	boss_name_1090	1001	"100,72;101,61;102,59"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1091	boss_name_1091	2001	"100,72;101,61;102,59"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1092	boss_name_1092	1001	"100,72;101,60;102,60"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1093	boss_name_1093	3001	"100,72;101,61;102,60"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1094	boss_name_1094	3001	"100,75;101,62;102,61"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1095	boss_name_1095	2001	"100,75;101,61;102,60"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1096	boss_name_1096	2001	"100,75;101,64;102,65"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1097	boss_name_1097	1001	"100,75;101,63;102,65"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1098	boss_name_1098	2001	"100,75;101,62;102,63"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1099	boss_name_1099	2001	"100,78;101,65;102,64"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
1100	boss_name_1100	2001	"100,78;101,65;102,66"	"1000010,2;1000020,2;1000040,1;1000080,2;1000110,1;1000120,20"	"4,100;3,50"	"4,20"	10002					
